Supa chinezeasca acra-iute,0,1,1,0,150,7,9,11,3.4,,
Supa crema cu cartofi Velicia Scandia ,0,1,1,0,51,1.4,2.1,6.5,0,,
Supa crema de ciuperci Knorr,0,1,1,0,18,0.7,0.2,3.3,0.1,,
Supa crema de legume Knorr,0,1,1,0,25,0.4,0.9,3.6,0.1,,
Supa crema de linte la plic Mammita,0,1,1,0,31,1.4,0.6,5,0,,
Supa crema de pui cu crutoane 5 min Maggi,0,1,1,0,357,8.8,14.7,46.1,2.7,,
Supa crema de rosii Velicia Scandia ,0,1,1,0,62,0.8,4.4,4.7,0,,
Supa crema rosii Weight Watchers,0,1,1,0,36,0.9,0.3,7.3,0.7,,
Supa cu fidea cu gust de branza SunPei,0,1,1,0,459,12.9,19.7,57.4,19.7,,
Supa cu fidea cu gust de tomate Sun Pei,0,1,1,0,417,12,13.4,62.1,0,,
Supa de gaina instant Mammita,0,1,1,0,39,1.3,1.3,5.6,0,,
Supa de linte cu carne de porc afumata Lidl,0,1,1,0,82,5.5,1.7,10,0,,
Supa de pui cu fidea Maggi,0,1,1,0,303,11.5,4.2,52.6,2.8,,
Supa de pui cu taitei Knorr,0,1,1,0,19,0.7,0.2,3.6,0.1,,
Supa de pui instant cu crutoane Knorr,0,1,1,0,383,10,12,58,1,,
Supa de pui instant cu crutoane Maggi,0,1,1,0,406,3.5,27,39,1,,
Supa de pui instant Mikado Lidl,0,1,1,0,21,0.9,0.3,3.5,2,,
Supa de pui Sunpei Lidl,0,1,1,0,463,9.6,18.1,64,20,,
Supa de vacuta cu fidea Maggi,0,1,1,0,332,14.1,8.5,48.1,2.5,,
Supa fidea cu rosii Rolton,0,1,1,0,480,7.9,22.8,60.8,2.1,,
Supa instant cu gust de pui Maggi,0,1,1,0,353,10.3,4.1,67.8,2,,
Supa instant cu taitei si gust de rata Mammita,0,1,1,0,87,1.8,3.6,11.9,0,,
"Supa instant cu taitei, pui si gust de curry Vifon",0,1,1,0,442,8,18,62,0,,
Supa instant de rosii cu taitei Maggi,0,1,1,0,358,8.4,8.5,59.3,5.2,,
Supa la plic cu gust de vita Fidelicios Maggie,0,1,1,0,404,7.2,18.5,52,0.1,,
Supa limpede de legume,0,1,1,0,6,0,0,1.2,0.4,,
Supa limpede de pui,0,1,1,0,15.2,1.9,0.6,0.4,0,,
Supa limpede de vita,0,1,1,0,10,1.6,0.4,0,0,,
Supa pui cu fidea Knorr,0,1,1,0,313,12.3,4.7,52.9,0,,
Supa rosii Arla,0,1,1,0,80,1.5,4.5,7,0,,
Tocana de legume frantuzeasca Delhaize 365,0,1,1,0,42,0.8,1.5,6.2,0,,
Tocana de legume Olympia,0,1,1,0,67,1.1,2.4,10.2,0,,
Tocana de legume Raureni,0,1,1,0,31.4,1.9,0.4,6.7,3.1,,
Tocanita porc cu ciuperci Traditii Scandia,0,1,1,1,132,15.3,10,3.6,0,,
Tofu,0,1,1,1,91,10,6,2,0,,
Tofu afumat Inedit,0,1,1,1,111.4,11.9,4,5,0,,
Tofu afumat Inedit,0,1,1,1,145,13.2,8.3,4.1,0,,
Tofu bio cu marar Inedit,0,1,1,1,107,12.1,4,5.7,0,,
Tofu bio simplu Inedit,0,1,1,1,104,12,4,5,0,,
Tofu Cauldron,0,1,1,1,105,12.1,6,0.6,0.5,,
Tofu cu ardei Inedit,0,1,1,1,107,12,4.1,5.5,1,,
Tofu in saramura Inedit,0,1,1,1,155,15.1,8.5,4.5,0,,
Tofu Telemah,0,1,1,1,150,18,6,8,0,,
Ton cu sos de rosii Bella Parma,1,1,1,1,71,3.9,3.4,6.1,0,,
Tortellini al prosciutto Baneasa,0,1,1,0,369,14.6,8.5,58.5,0,,
Tortellini cu carne Casa Cecconi,0,1,1,0,304,10.3,5.9,52.3,0,,
Tortellini cu prosciuto Danieli,0,1,1,0,308,10.1,9.3,45,1.7,,
Tortellini cu prosciuto Grandtortello,0,1,1,0,293,14.7,9.8,36.5,0,,
"Tortillas cu pui, rosii si cascaval Maheso",0,1,1,0,157,9.7,6.8,14.2,0,,
Zacusca de ciuperci Carrefour,1,0,1,0,101,2.2,7,4,0,,
Zacusca de vinete Olympia,1,0,1,0,110,2,7,9.8,0,,
Zacusca picanta Raureni,1,0,1,0,23,0.8,0.2,6.8,3,,
Zacusca romaneasca Inedit,1,0,1,0,175,2,9.2,20.5,0,,
Zacusca taraneasca Raureni,1,0,1,0,23,0.8,0.2,6.8,3,,
Zacusca Toppo Lidl,1,0,1,0,144,1.9,11,12.2,5.9,,
Zacusca traditionala Camara cu Bucate,1,0,1,0,127,1.1,10,8,0,,
Zacusca Vico,1,0,1,0,53,2.7,2.6,4.7,0,,
Zaziki Dr. Oetker,0,1,1,0,132,3.5,9.8,7.4,0,,SHOULD BE SIDEDISH
